geolocation_city,avg,avg
sao jose das torres,-19.900436161470907,-43.9990296612386
capao da porteira,-30.092809899462708,-50.694388328298245
guarani das missões,-28.14306766715542,-54.55624677285225
barra de são miguel,-9.841901568272332,-35.89795428221847
cordislandia,-21.791918259528295,-45.700923348353385
cruzaltense,-27.6623943111177,-52.65655525498907
osorio,-29.895176965887636,-50.25420460933468
cabeceiras do piaui,-4.476650188397818,-42.30833007710929
alta floresta d'oeste,-11.947014804296675,-61.99946134183564
santa bárbara d`oeste,-22.73447979257104,-47.38058895503217
cajamar,-23.369586747930345,-46.84232153418722
brasitânia,-20.27992376887236,-50.25579885917082
são joão da ponte,-15.949820161708304,-43.99523875886755
nerópolis,-16.40304281965108,-49.22195355560198
bodocó,-7.780480154358987,-39.939235228215765
sao jose do sul,-29.541483255421678,-51.421791870607514
almirante tamandaré do sul,-28.111052791742267,-52.91734552535572
carnaubais,-5.337733879077279,-36.836306895041766
porto de moz,-1.7537830508133914,-52.236424722242944
são joão da mata,-21.931818928487512,-45.92695690653725
japira,-23.811996542515296,-50.14014250820878
botelho,-22.22100814602821,-47.3001460600237
tabapua,-20.963829158335308,-49.03224540283731
canas,-22.704304183920105,-45.05444050515167
santa vitória,-18.847016419526987,-50.12656576290025
rio verde de mato grosso,-18.916366107497037,-54.84730055046416
deserto,-3.5140996936340057,-39.49148924880811
nepomuceno,-21.236352172815856,-45.23626913181331
ibertioga,-21.433481249136186,-43.96320596072962
tejuçuoca,-3.988963127057244,-39.57959350744396
vertente do lerio,-7.784435999999946,-35.832882499999954
união da vitória,-26.230294440330205,-51.083691426438854
palmacia,-4.14742924413107,-38.847925339561
pitangui,-19.684235018418946,-44.89175789294176
jaragua do sul,-26.483920906584594,-49.09346022232557
acorizal,-15.199589388505151,-56.36694095815544
inúbia,-12.942168341305583,-38.36274191115675
quatro bocas,-2.6682388775363535,-49.581373225431214
diamantina,-18.240347942725776,-43.60050786265679
grao mogol,-16.52054563479116,-42.863459767873906
luís eduardo magalhães,-12.091095069784245,-45.80522937542508
tiradentes,-21.109807916044407,-44.17477905963709
junqueiro,-9.888675029135362,-36.46836013110915
ibirapua,-17.686538143910244,-40.108351984849946
campestre do maranhão,-6.1723706469913076,-47.36794812985496
wall ferraz,-7.238078215904141,-41.89567913935248
bom jesus da serra,-14.373890293319775,-40.507204091455876
surubim,-7.841478546195655,-35.75945003965524
curiúva,-24.03842310264571,-50.45562259303894
formosa do rio preto,-11.017033236590091,-45.258250238924084
professor jamil,-17.253069301258307,-49.245145208197734
japoata,-10.350269425053886,-36.80664372426389
cabeceira grande,-16.05566817673631,-47.143652358670614
arauá,-11.265128131483385,-37.616756457901104
vila flores,-28.86023888910916,-51.552607108079904
viçosa do ceará,-3.562618903493411,-41.10100385606519
dobrada,-21.518612546651045,-48.392202600489014
faro,-2.1734549865063064,-56.744427131921
vargem alta,-20.644842999268597,-41.00717001967552
pirituba,-15.778086223293393,-41.03447360455269
araguaína,-7.191999417749101,-48.20998813909487
jiquirica,-13.255143039736817,-39.57410719325555
coronel xavier chaves,-21.02396300482574,-44.22160429714655
chuvisca,-30.74918915031097,-51.98089791935577
nova rosalândia,-10.561462861108687,-48.913064406651046
berizal,-15.620342230243962,-41.74589223879503
condeuba,-14.899898829977838,-41.96972490847679
campina grande do sul,-25.342398065900397,-49.08604295836131
aratuba,-4.419358212248047,-39.04633611936836
iranduba,-3.2743522135065497,-60.18882245669035
capitão poço,-1.7495128979656913,-47.06245434123174
santa isabel do ivaí,-23.002817271037987,-53.19703817685115
riachão do jacuípe,-11.810778574282512,-39.38078042603024
são félix do araguaia,-11.621292674265106,-50.67806411001457
santo antônio do caiuá,-22.740860488268048,-52.3442529918376
alegrete,-29.789572584973925,-55.79128645489499
naque,-19.225506514905405,-42.32965520543908
cícero dantas,-10.593290669367281,-38.38422928193032
corrego novo,-19.834627673585302,-42.40272373262136
cacique doble,-27.772162553937694,-51.66196048031398
união do oeste,-26.778027158907637,-52.8548753930181
tebas,-21.55209433346309,-42.68502528176471
cardeal,-12.99385222547416,-38.4808818461084
aguiarnópolis,-6.559462517002985,-47.4774869528423
boa nova,-14.364075864484676,-40.207777739857676
amaturá,-3.360578634395564,-68.19734060856122
josé de freitas,-4.751843751054895,-42.57750374388955
itapecuru-mirim,-3.3953867184256543,-44.35866623865241
sao joao de deus,-4.994999999999948,-38.00332999999995
quinta do sol,-23.850051837280752,-52.132124862539804
rechan,-23.599153923116564,-48.317472256050465
olho d agua das flores,-9.536895732970592,-37.291587839551696
ponte alta do tocantins,-10.744860606931455,-47.53636759968689
mucuri,-18.094086712635622,-39.6425465325154
biritinga,-11.621067370397462,-38.80797809110514
mâncio lima,-7.5941976966302285,-72.92902102564705
igarape-acu,-1.1279176336806125,-47.619719739970165
mariana pimentel,-30.354614005554176,-51.58422950230679
albertina,-22.20122849160345,-46.615456671407614
bela vista de goias,-16.970865848615613,-48.95050687356345
sao geraldo do baixio,-18.91857738323159,-41.360117835185925
sao sebastiao do tocantins,-5.272299481338877,-48.216432763475
joacaba,-27.172293601976843,-51.50892049608619
sao bernardo do campo,-23.707626338404,-46.563868719421684
elisio medrado,-12.945754382865934,-39.52141988424625
cianorte,-23.661548233399802,-52.61100936204497
são joão,-22.25786106960696,-49.28412803724999
barra do garças,-15.879476847501985,-52.27720947710932
santa cruz das palmeiras,-21.82656001816575,-47.24871819241543
engenheiro navarro,-17.285046057703397,-43.94997150256938
mercedes,-24.452002184845046,-54.16779976794678
almino afonso,-6.155247530745038,-37.76818300221504
chapada gaúcha,-15.298975698361643,-45.62452193758812
sao tiago,-20.909995943652117,-44.50884106820461
mirante,-14.24092266335386,-40.769625079748884
itaberaí,-16.026810937109694,-49.79746514381696
mogi mirim,-22.433009217820032,-46.961104665085976
são josé do jacuri,-18.27689302855011,-42.671699027652096
dores do paraibuna,-21.515056432916694,-43.61804762410479
estrela d oeste,-20.285707597976753,-50.39572641901714
lastro,-6.520364999999998,-38.17927928578266
porto da folha,-9.916527313825647,-37.308918513136156
itacurussá,-22.924016846137924,-43.90801358047545
sao joao do rio do peixe,-6.7555344215266215,-38.43889603578816
carinhanha,-14.294697803582958,-43.77047943003391
luzinopolis,-6.19278745706391,-47.8547739616613
joão neiva,-19.748717965067158,-40.391059715265065
sp,-23.610214292422057,-46.701778950480296
sao sebastiao da amoreira,-23.465011850073953,-50.76082356050152
recursolandia,-8.72318758598064,-47.222531571279234
são sebastião da amoreira,-23.46504264450599,-50.76216853355131
joanésia,-19.17646978625848,-42.68029308960365
gália,-22.291395730225183,-49.55090000888804
apiacá,-21.15057398340369,-41.5709705731797
aporá,-11.679041195321034,-38.12718919875407
urucania,-20.352429245621725,-42.747499823795316
caruaru,-8.280838827967244,-35.97142784180056
sobrado,-7.147469450226598,-35.23749153904038
lencois,-12.547327417407976,-41.38305907736813
venda nova do imigrante-es,-20.33847648967304,-41.13285006324232
esmeralda,-28.056984961059428,-51.189563260380716
piumhi,-20.468708252692608,-45.960227537029006
divisa alegre,-15.725920378278673,-41.3414846034514
nova alvorada,-28.677015239531137,-52.16486968653306
pedras grandes,-28.43635694924699,-49.185920749229766
taiaçu,-21.143916845731848,-48.51079848107177
inimutaba,-18.731612623128893,-44.36174448647697
itaboraí,-22.75092464852855,-42.87332148576293
itapucá,-28.78435286676516,-52.17252562552299
araçatuba,-21.204529659652472,-50.443234271485444
tatuí,-23.35186084308457,-47.84838126727027
araújos,-19.944553325713837,-45.16498298249606
bálsamo,-20.737083992742107,-49.582216602801395
benjamin constant do sul,-27.515351327457267,-52.593046103938015
acari,-6.436124915575116,-36.640335529330684
reduto,-20.245060333897484,-41.982938186773104
itaipulândia,-25.14200976535237,-54.29984926010633
caldas,-21.91385284576575,-46.39241187788379
rurópolis,-4.106373762729634,-54.90994782637326
ivaiporã,-24.246868995468716,-51.672065729904354
bueno brandao,-22.442842181129254,-46.34874000609387
balneário camboriú,-27.004554392090025,-48.63780655782501
nova trento,-27.28299944363184,-48.93077294776362
barra do jacaré,-23.11274456799206,-50.18059906256319
confresa,-10.63429415830214,-51.57675087096199
satubinha,-4.038562291788479,-45.23737623167276
maringá,-23.42006511083864,-51.932759230695765
cristais,-20.875296630804293,-45.51623716422217
santa terezinha de itaipu,-25.4428621177467,-54.40276472776409
itaiba,-8.946154543162868,-37.42001139874787
epitaciolândia,-11.028213894210161,-68.73936589036356
* cidade,-25.57174841548848,-49.33437407992388
são roque de minas,-20.2477088117959,-46.366075454473986
salto do ceu,-15.128823367920884,-58.131038278711756
